attribute,sd
potassium, 1171.72404411517
calories, 690.835726239785
sodium, 3006.66739876016
niacin, 25.9156762059354
thiamin, 1.23242849206052
folate, 0.441044619794824
vitaminC, 88.0050343637995
magnesium, 160.309120682491
vitaminA, 10848.5463904526
vitaminB6, 1.1849059961745
cholesterol, 266.79920624351
dietaryFiber, 10.1487468585713
totalCarbohydrates, 82.4818342037428
calcium, 504.849258928076
protein, 38.9896486893362
iron, 13.7316753409301
totalFat, 44.2167440079671
saturatedFat, 19.4205815110968
caloriesFromFat, 397.940775963069
sugars, 46.2626488018541
rating, 1.419617568575
